match_id,match_no,date,group,team_a_id,team_a_name,team_a_goals,team_b_id,team_b_name,team_b_goals,total_goals,goal_diff,winner_team_id,result_1x2,team_a_possession,team_b_possession,team_a_shots,team_b_shots,team_a_shots_on_target,team_b_shots_on_target,team_a_xg,team_b_xg,total_xg,xg_diff,team_a_big_chances,team_b_big_chances,team_a_corners,team_b_corners,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_formation,team_b_formation,source_url,data_status
2026-06-20_match-36,36,2026-06-20,F,TUN,Túnez,0,JPN,Japón,4,4,-4,JPN,2,43.0,57.0,3,10,1,5,0.18,1.73,1.91,-1.55,2,8,3,5,0,0,0,0,5-3-2,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-tunisia-vs-japan-jun-21-2026-game-boxscore-647651?tab=boxscore,verified
2026-06-21_match-37,37,2026-06-21,H,URU,Uruguay,2,CPV,Cabo Verde,2,4,0,,X,66.0,34.0,16,11,2,4,1.92,0.7,2.62,1.22,8,4,11,4,2,2,0,0,4-2-3-1,4-1-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-uruguay-vs-cape-verde-jun-21-2026-game-boxscore-647654?tab=boxscore,verified
2026-06-21_match-38,38,2026-06-21,H,ESP,España,4,KSA,Arabia Saudí,0,4,4,ESP,1,65.0,35.0,21,3,9,1,1.82,0.09,1.91,1.73,12,2,6,1,0,2,0,0,4-1-2-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-saudi-arabia-jun-21-2026-game-boxscore-647652?tab=boxscore,verified
2026-06-21_match-39,39,2026-06-21,G,BEL,Bélgica,0,IRI,Irán,0,0,0,,X,68.0,32.0,22,7,7,3,1.39,0.72,2.11,0.67,14,5,4,2,1,1,1,0,4-2-3-1,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-iran-jun-21-2026-game-boxscore-647653?tab=boxscore,verified
2026-06-21_match-40,40,2026-06-21,G,NZL,Nueva Zelanda,1,EGY,Egipto,3,4,-2,EGY,2,44.0,56.0,10,19,5,7,1.3,1.9,3.2,-0.6,8,16,4,3,2,1,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-new-zealand-vs-egypt-jun-21-2026-game-boxscore-647655?tab=boxscore,verified
2026-06-22_match-41,41,2026-06-22,I,NOR,Noruega,3,SEN,Senegal,2,5,1,NOR,1,43.0,57.0,12,17,6,6,1.9,1.59,3.49,0.31,8,12,5,4,0,0,0,0,4-1-2-3,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men/norway-vs-senegal-jun-22-2026-game-boxscore-647658?tab=boxscore,verified
2026-06-22_match-42,42,2026-06-22,I,FRA,Francia,3,IRQ,Irak,0,3,3,FRA,1,56.0,44.0,19,4,5,0,2.06,0.17,2.23,1.89,10,2,4,2,0,1,0,0,4-2-3-1,4-5-1,https://www.foxsports.com/soccer/fifa-world-cup-men/france-vs-iraq-jun-22-2026-game-boxscore-647657?tab=boxscore,verified
2026-06-22_match-43,43,2026-06-22,J,ARG,Argentina,2,AUT,Austria,0,2,2,ARG,1,54.0,46.0,12,6,3,1,1.82,0.51,2.33,1.31,5,4,1,3,2,2,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-austria-jun-22-2026-game-boxscore-647656?tab=boxscore,verified
2026-06-22_match-44,44,2026-06-22,J,JOR,Jordania,1,DZA,Argelia,2,3,-1,DZA,2,26.0,74.0,9,16,4,8,1.0,1.64,2.64,-0.64,6,12,1,9,1,1,0,0,3-4-3,4-3-3,https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan,verified
2026-06-23_match-45,45,2026-06-23,L,ENG,Inglaterra,0,GHA,Ghana,0,0,0,,X,78.0,22.0,19,2,4,1,1.28,0.0,1.28,1.28,12,0,9,2,1,1,0,0,4-2-3-1,5-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-ghana-jun-23-2026-game-boxscore-647661?tab=boxscore,verified
2026-06-23_match-46,46,2026-06-23,L,PAN,Panamá,0,CRO,Croacia,1,1,-1,CRO,2,42.0,58.0,8,6,3,3,0.38,0.94,1.32,-0.56,4,3,7,2,1,1,0,0,3-4-3,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-panama-vs-croatia-jun-23-2026-game-boxscore-647662?tab=boxscore,verified
2026-06-23_match-47,47,2026-06-23,K,POR,Portugal,5,UZB,Uzbekistán,0,5,5,POR,1,66.0,34.0,16,7,9,2,1.8,0.46,2.26,1.34,8,7,3,2,1,1,0,0,4-2-3-1,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-uzbekistan-jun-23-2026-game-boxscore-647660?tab=boxscore,verified
2026-06-23_match-48,48,2026-06-23,K,COL,Colombia,1,COD,DR Congo,0,1,1,COL,1,66.0,34.0,20,7,9,2,1.2,0.36,1.56,0.84,11,5,5,4,2,1,0,0,4-2-3-1,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-colombia-vs-dr-congo-jun-23-2026-game-boxscore-647663?tab=boxscore,verified
2026-06-24_match-49,49,2026-06-24,B,SUI,Suiza,2,CAN,Canadá,1,3,1,SUI,1,55.0,45.0,6,13,4,7,0.5,1.56,2.06,-1.06,3,11,2,7,1,2,0,0,4-1-2-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-canada-jun-24-2026-game-boxscore-647664?tab=boxscore,verified
2026-06-24_match-50,50,2026-06-24,B,BIH,Bosnia y Herzegovina,3,QAT,Catar,1,4,2,BIH,1,55.0,45.0,15,9,5,3,0.84,0.72,1.56,0.12,9,7,5,5,1,1,0,0,4-4-2,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-bosnia-vs-qatar-jun-24-2026-game-boxscore-647665?tab=boxscore,verified
2026-06-24_match-51,51,2026-06-24,C,SCO,Escocia,0,BRA,Brasil,3,3,-3,BRA,2,46.0,54.0,11,21,5,8,0.89,3.12,4.01,-2.23,6,16,7,6,1,2,0,0,4-2-3-1,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-scotland-vs-brazil-jun-24-2026-game-boxscore-647666?tab=boxscore,verified
2026-06-24_match-52,52,2026-06-24,C,MAR,Marruecos,4,HTI,Haití,2,6,2,MAR,1,69.0,31.0,19,7,12,2,2.13,0.33,2.46,1.8,10,2,9,1,0,3,0,0,4-2-3-1,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-morocco-vs-haiti-jun-24-2026-game-boxscore-647667?tab=boxscore,verified
2026-06-24_match-53,53,2026-06-24,A,CZE,República Checa,0,MEX,México,3,3,-3,MEX,2,51.0,49.0,12,11,1,5,0.74,1.62,2.36,-0.88,4,5,5,1,0,1,0,0,5-2-3,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-czechia-vs-mexico-jun-24-2026-game-boxscore-647668?tab=boxscore,verified
2026-06-24_match-54,54,2026-06-24,A,RSA,Sudáfrica,1,KOR,Corea del Sur,0,1,1,RSA,1,31.0,69.0,14,7,4,2,0.92,0.84,1.76,0.08,9,6,4,6,1,1,0,0,4-2-3-1,3-4-1-2,https://www.foxsports.com/soccer/fifa-world-cup-men-south-africa-vs-south-korea-jun-24-2026-game-boxscore-647669?tab=boxscore,verified
1970-01-01_match-55,55,1970-01-01,E,ECU,Ecuador,2,GER,Alemania,1,3,1,ECU,1,39.0,61.0,8,11,3,3,1.54,0.67,2.21,0.87,7,6,3,2,3,1,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-ecuador-vs-germany-jun-25-2026-game-boxscore-647670?tab=boxscore,verified
1970-01-01_match-56,56,1970-01-01,E,CUW,Curazao,0,CIV,Costa de Marfil,2,2,-2,CIV,2,38.0,62.0,10,8,3,3,0.45,1.11,1.56,-0.66,8,6,4,6,2,1,0,0,5-3-2,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-curacao-vs-ivory-coast-jun-25-2026-game-boxscore-647671?tab=boxscore,verified
1970-01-01_match-57,57,1970-01-01,F,JPN,Japón,1,SWE,Suecia,1,2,0,,X,51.0,49.0,8,10,3,5,1.04,0.7,1.74,0.34,8,5,2,8,1,2,0,0,3-4-3,3-4-1-2,https://www.foxsports.com/soccer/fifa-world-cup-men-japan-vs-sweden-jun-25-2026-game-boxscore-647673?tab=boxscore,verified
1970-01-01_match-58,58,1970-01-01,F,TUN,Túnez,1,NED,Países Bajos,3,4,-2,NED,2,29.0,71.0,10,19,4,6,0.61,1.65,2.26,-1.04,6,12,4,6,0,0,0,0,5-3-2,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-tunisia-vs-netherlands-jun-25-2026-game-boxscore-647672?tab=boxscore,verified
1970-01-01_match-59,59,1970-01-01,D,TUR,Turquía,3,USA,Estados Unidos,2,5,1,TUR,1,47.0,53.0,10,19,4,7,1.59,1.8,3.39,-0.21,6,9,2,9,0,1,0,0,4-2-3-1,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-turkiye-vs-united-states-jun-25-2026-game-boxscore-647674?tab=boxscore,verified
1970-01-01_match-60,60,1970-01-01,D,PAR,Paraguay,0,AUS,Australia,0,0,0,,X,44.0,56.0,8,12,2,5,0.42,0.85,1.27,-0.43,4,11,1,3,1,1,0,0,5-4-1,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-paraguay-vs-australia-jun-25-2026-game-boxscore-647675?tab=boxscore,verified
2026-06-26_match-61,61,2026-06-26,I,NOR,Noruega,1,FRA,Francia,4,5,-3,FRA,2,43.0,57.0,10,19,5,10,1.42,1.12,2.54,0.3,5,14,4,5,1,1,0,0,4-3-3,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676?tab=boxscore; https://www.transfermarkt.us/frankreich/spielplan/verein/3377,verified
2026-06-26_match-62,62,2026-06-26,I,SEN,Senegal,5,IRQ,Irak,0,5,5,SEN,1,69.0,31.0,30,6,12,1,2.67,0.28,2.95,2.39,22,3,12,3,2,2,0,1,4-1-2-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-senegal-vs-iraq-jun-26-2026-game-boxscore-647677?tab=boxscore,verified
2026-06-26_match-63,63,2026-06-26,H,URU,Uruguay,0,ESP,España,1,1,-1,ESP,2,32.0,68.0,6,5,2,1,0.47,0.53,1.0,-0.06,5,5,1,6,3,1,1,0,4-1-2-3,4-1-2-3,https://www.foxsports.com/soccer/fifa-world-cup-men-uruguay-vs-spain-jun-26-2026-game-boxscore-647678?tab=boxscore; https://www.thescore.com/worldcup/event/93044,verified
2026-06-26_match-64,64,2026-06-26,H,CPV,Cabo Verde,0,KSA,Arabia Saudí,0,0,0,,X,51.0,49.0,15,6,3,3,1.54,0.37,1.91,1.17,7,4,4,2,1,3,0,0,4-1-2-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-cape-verde-vs-saudi-arabia-jun-26-2026-game-boxscore-647679?tab=boxscore; https://www.transfermarkt.us/cape-verde_saudi-arabia/index/spielbericht/4776662,verified
2026-06-26_match-65,65,2026-06-26,G,NZL,Nueva Zelanda,1,BEL,Bélgica,5,6,-4,BEL,2,45.0,55.0,6,33,2,10,0.64,3.18,3.82,-2.54,3,17,5,8,2,0,0,0,4-2-3-1,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-new-zealand-vs-belgium-jun-26-2026-game-boxscore-647680?tab=boxscore,verified
2026-06-26_match-66,66,2026-06-26,G,EGY,Egipto,1,IRI,Irán,1,2,0,,X,62.0,38.0,14,11,3,3,1.25,1.48,2.73,-0.23,7,4,8,2,3,4,0,0,4-2-3-1,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-egypt-vs-iran-jun-26-2026-game-boxscore-647681?tab=boxscore,verified
