match_id,match_no,date,group,team_id,team_name,opponent_id,opponent_name,is_team_a,goals_for,goals_against,result,points,possession,shots,shots_on_target,shot_accuracy,xg_for,xg_against,xg_diff,big_chances,corners,yellow_cards,red_cards,formation,source_url,data_status
2026-06-15_match-15,15,2026-06-15,H,URU,Uruguay,KSA,Arabia Saudí,False,1,1,E,1,65.0,27,10,0.37037037037037035,1.88,1.0,0.8799999999999999,16,14,0,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630,verified
2026-06-15_match-16,16,2026-06-15,G,IRI,Irán,NZL,Nueva Zelanda,True,2,2,E,1,47.0,17,4,0.23529411764705882,1.46,0.85,0.61,12,4,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,verified
2026-06-15_match-16,16,2026-06-15,G,NZL,Nueva Zelanda,IRI,Irán,False,2,2,E,1,53.0,13,8,0.6153846153846154,0.85,1.46,-0.61,9,1,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,verified
2026-06-16_match-17,17,2026-06-16,I,FRA,Francia,SEN,Senegal,True,3,1,G,3,54.0,11,8,0.7272727272727273,1.9,0.35,1.5499999999999998,9,6,0,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-senegal-jun-16-2026-game-boxscore-647633,verified
2026-06-16_match-17,17,2026-06-16,I,SEN,Senegal,FRA,Francia,False,1,3,P,0,46.0,6,2,0.3333333333333333,0.35,1.9,-1.5499999999999998,5,4,0,0,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-senegal-jun-16-2026-game-boxscore-647633,verified
2026-06-16_match-18,18,2026-06-16,I,IRQ,Irak,NOR,Noruega,True,1,4,P,0,37.0,11,1,0.09090909090909091,0.67,2.21,-1.54,5,2,1,0,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-iraq-vs-norway-jun-16-2026-game-boxscore-647634,verified
2026-06-16_match-18,18,2026-06-16,I,NOR,Noruega,IRQ,Irak,False,4,1,G,3,63.0,12,6,0.5,2.21,0.67,1.54,8,5,0,0,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-iraq-vs-norway-jun-16-2026-game-boxscore-647634,verified
2026-06-16_match-19,19,2026-06-16,J,ARG,Argentina,DZA,Argelia,True,3,0,G,3,47.0,9,6,0.6666666666666666,1.13,0.14,0.9899999999999999,6,2,0,0,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-algeria-jun-16-2026-game-boxscore-647635,verified
2026-06-16_match-19,19,2026-06-16,J,DZA,Argelia,ARG,Argentina,False,0,3,P,0,53.0,6,0,0.0,0.14,1.13,-0.9899999999999999,2,2,0,0,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-algeria-jun-16-2026-game-boxscore-647635,verified
2026-06-17_match-20,20,2026-06-17,J,AUT,Austria,JOR,Jordania,True,3,1,G,3,62.0,9,3,0.3333333333333333,1.65,0.96,0.69,4,4,1,0,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-austria-vs-jordan-jun-17-2026-game-boxscore-647632,verified
