match_id,date,team_a_id,team_b_id,team_a_goals,team_b_goals,actual_result,total_goals_real,source_url,verified_at,data_status
2026-06-26_match-61,2026-06-26,NOR,FRA,1,4,team_b_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-norway-vs-france-jun-26-2026-game-boxscore-647676?tab=boxscore; https://www.transfermarkt.us/frankreich/spielplan/verein/3377,2026-07-04T15:25:53.666978+00:00,verified
2026-06-26_match-62,2026-06-26,SEN,IRQ,5,0,team_a_win,5,https://www.foxsports.com/soccer/fifa-world-cup-men-senegal-vs-iraq-jun-26-2026-game-boxscore-647677?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-26_match-63,2026-06-26,URU,ESP,0,1,team_b_win,1,https://www.foxsports.com/soccer/fifa-world-cup-men-uruguay-vs-spain-jun-26-2026-game-boxscore-647678?tab=boxscore; https://www.thescore.com/worldcup/event/93044,2026-07-04T15:25:53.666978+00:00,verified
2026-06-26_match-64,2026-06-26,CPV,KSA,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-cape-verde-vs-saudi-arabia-jun-26-2026-game-boxscore-647679?tab=boxscore; https://www.transfermarkt.us/cape-verde_saudi-arabia/index/spielbericht/4776662,2026-07-04T15:25:53.666978+00:00,verified
2026-06-26_match-65,2026-06-26,NZL,BEL,1,5,team_b_win,6,https://www.foxsports.com/soccer/fifa-world-cup-men-new-zealand-vs-belgium-jun-26-2026-game-boxscore-647680?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-26_match-66,2026-06-26,EGY,IRI,1,1,draw,2,https://www.foxsports.com/soccer/fifa-world-cup-men-egypt-vs-iran-jun-26-2026-game-boxscore-647681?tab=boxscore,2026-07-04T15:25:53.666978+00:00,verified
2026-06-27_match-67,2026-06-27,PAN,ENG,0,2,team_b_win,2,https://www.foxsports.com/soccer/fifa-world-cup-men-panama-vs-england-jun-27-2026-game-boxscore-647682?tab=boxscore; https://www.11v11.com/matches/panama-v-england-27-june-2026-393604/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-27_match-68,2026-06-27,CRO,GHA,2,1,team_a_win,3,https://www.foxsports.com/soccer/fifa-world-cup-men-croatia-vs-ghana-jun-27-2026-game-boxscore-647683?tab=boxscore; https://www.11v11.com/matches/croatia-v-ghana-27-june-2026-393603/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-27_match-69,2026-06-27,COL,POR,0,0,draw,0,https://www.foxsports.com/soccer/fifa-world-cup-men-colombia-vs-portugal-jun-27-2026-game-boxscore-647684?tab=boxscore; https://www.11v11.com/matches/colombia-v-portugal-27-june-2026-393597/,2026-07-04T15:25:53.666978+00:00,verified
2026-06-27_match-70,2026-06-27,COD,UZB,3,1,team_a_win,4,https://www.foxsports.com/soccer/fifa-world-cup-men-congo-dr-vs-uzbekistan-jun-27-2026-game-boxscore-647685?tab=boxscore; https://www.11v11.com/matches/congo-dr-v-uzbekistan-27-june-2026-393598/,2026-07-04T15:25:53.666978+00:00,verified
